Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Igor Zubeldia;26;28.2;35;18;28;7;0;25;35;71.4;10;23;17;6;21;56;93;0;
Kurt Zouma;29;22.1;9;4;4;5;0;5;8;62.5;3;17;14;3;30;39;120;1;
Tanguy Zoukrou;20;5.7;14;7;8;6;0;10;14;71.4;4;18;11;7;2;16;24;0;
Nadir Zortea;24;7.3;15;8;12;2;1;9;14;64.3;5;10;4;6;4;19;21;0;
Oleksandr Zinchenko;27;23.5;40;18;14;17;9;21;39;53.8;18;20;2;18;22;62;38;2;
David Zima;23;4.5;9;5;5;4;0;3;4;75.0;1;7;2;5;9;18;11;2;
Nathan Zeze;18;0.7;3;2;2;1;0;1;1;100.0;0;0;0;0;0;3;1;0;
Jordan Zemura;24;16.2;39;24;24;14;1;23;43;53.5;20;31;9;22;16;55;32;0;
Aaron Zehnter;19;0.0;0;0;0;0;0;0;1;0.0;1;0;0;0;1;1;0;0;
Marvin Zeegelaar;33;3.9;8;4;6;2;0;3;4;75.0;1;2;0;2;3;11;5;0;
Deyovaisio Zeefuik;25;0.1;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;
Akim Zedadka;28;17.8;35;21;21;10;4;18;32;56.3;14;17;3;14;23;58;51;1;
Davide Zappacosta;31;16.4;34;18;17;12;5;15;22;68.2;7;23;2;21;9;43;16;0;
Mattia Zanotti;20;0.3;0;0;0;0;0;0;1;0.0;1;2;0;2;0;0;0;0;
Alessandro Zanoli;23;0.1;1;0;0;1;0;0;0;;0;0;0;0;0;1;1;0;
Alessandro Zanoli;23;17.1;22;14;14;6;2;8;17;47.1;9;19;15;4;12;34;39;0;
Nicola Zalewski;21;24.4;45;26;25;15;5;22;71;31.0;49;27;1;26;31;76;23;0;
Joseba Zaldúa;31;7.1;15;8;10;4;1;7;10;70.0;3;4;2;2;11;26;22;0;
Dan-Axel Zagadou;24;14.1;14;9;10;4;0;5;14;35.7;9;19;16;3;21;35;81;1;
Illia Zabarnyi;21;3.3;4;2;4;0;0;3;7;42.9;4;7;2;5;3;7;14;0;
Mohamed Youssouf;35;27.3;72;44;41;24;7;38;61;62.3;23;32;8;24;65;137;70;0;
