Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Tammy Abraham;26;24.3;8;3;11;-2.8;-0.6;35;54;141;0.33;0.12;0.45;-0.12;-0.03;
Mohamed Achi;21;0.4;0;0;0;-0.1;0;2;3;1;0.00;0.00;0.00;-0.3;-0.08;
Che Adams;27;22.1;5;3;8;-1.6;0.2;17;34;115;0.23;0.14;0.36;-0.07;0.01;
Amar Ahmed;19;0.2;0;0;0;0;0;0;1;2;0.00;0.00;0.00;0;0;
Ludovic Ajorque;29;8.6;1;0;1;-2.4;-0.9;2;13;55;0.12;0.00;0.12;-0.27;-0.1;
Babatunde Akinsola;20;0.1;0;0;0;0;0;1;0;3;0.00;0.00;0.00;0;0;
Miguel Almirón;29;27.7;11;2;13;3;-1.2;77;124;264;0.40;0.07;0.47;0.11;-0.04;
Carlos Álvarez;20;0.1;0;0;0;0;0;;;;0.00;0.00;0.00;0;0;
Felipe Anderson;30;32.9;9;2;11;3;-2.8;83;114;224;0.27;0.06;0.33;0.09;-0.09;
Komnen Andrić;28;16.1;4;3;7;-1.5;2.1;8;27;88;0.25;0.19;0.44;-0.09;0.13;
Janis Antiste;21;0.6;1;0;1;0.8;0;0;1;2;1.73;0.00;1.73;1.42;0;
Michail Antonio;33;20.3;5;3;8;-1.6;1.7;49;27;120;0.25;0.15;0.39;-0.07;0.09;
Antony;23;20.0;4;2;6;-2.6;-0.9;95;74;168;0.20;0.10;0.30;-0.13;-0.04;
Taïryk Arconte;20;1.4;0;0;0;-0.3;-0.1;1;1;8;0.00;0.00;0.00;-0.19;-0.1;
Marko Arnautović;34;17.0;10;0;10;2.8;-1.9;13;36;116;0.59;0.00;0.59;0.17;-0.11;
Arthur;25;15.9;8;1;9;0.1;0.2;11;21;86;0.50;0.06;0.57;0.01;0.01;
Fisnik Asllani;21;1.9;0;0;0;-1.7;-0.2;4;1;19;0.00;0.00;0.00;-0.88;-0.1;
Iago Aspas;36;31.9;12;3;15;0.9;-2.6;80;162;239;0.38;0.09;0.47;0.03;-0.09;
Pierre-Emerick Aubameyang;34;6.2;1;0;1;-0.5;-0.4;9;3;29;0.16;0.00;0.16;-0.08;-0.07;
Pierre-Emerick Aubameyang;34;0.1;0;0;0;-0.1;0;0;0;0;0.00;0.00;0.00;-1.18;0;
Taiwo Awoniyi;26;15.6;10;1;11;3.4;-0.1;18;12;55;0.64;0.06;0.71;0.22;-0.01;
Folarin Balogun;22;33.3;21;2;23;-5.6;-1.8;56;55;283;0.63;0.06;0.69;-0.17;-0.05;
Jonathan Bamba;27;30.9;6;7;13;-2.2;0.5;111;146;345;0.19;0.23;0.42;-0.08;0.02;
Patrick Bamford;30;16.8;4;2;6;-4.6;1;17;23;96;0.24;0.12;0.36;-0.27;0.06;
Gil Bastião Dias;27;4.4;1;0;1;0.5;-0.7;16;14;33;0.23;0.00;0.23;0.11;-0.15;
Bebé;33;0.7;0;0;0;-0.1;-0.1;5;1;10;0.00;0.00;0.00;-0.12;-0.13;
Sheraldo Becker;28;28.4;11;7;18;4.5;1.4;105;44;240;0.39;0.25;0.63;0.16;0.05;
Kevin Behrens;32;17.1;8;1;9;3.2;-0.3;11;71;92;0.47;0.06;0.53;0.19;-0.01;
Andrea Belotti;30;12.7;0;2;2;-3.5;0.4;21;13;94;0.00;0.16;0.16;-0.27;0.03;
Wissam Ben Yedder;33;23.5;19;6;25;1.6;2.2;48;75;198;0.81;0.26;1.06;0.07;0.1;
Karim Benzema;36;22.6;19;3;22;-2.5;-2.8;72;138;157;0.84;0.13;0.97;-0.11;-0.13;
Domenico Berardi;29;20.7;12;7;19;0.6;0.4;57;114;213;0.58;0.34;0.92;0.03;0.02;
Álex Berenguer;28;25.5;4;1;5;-0.3;-3.6;73;77;249;0.16;0.04;0.20;-0.01;-0.14;
Mergim Berisha;25;18.7;9;4;13;0.9;1.3;20;28;99;0.48;0.21;0.70;0.05;0.07;
Beto;25;23.6;10;1;11;-0.9;-1.6;25;13;121;0.42;0.04;0.47;-0.04;-0.07;
El Bilal Touré;22;14.0;7;2;9;0.7;0.7;18;14;51;0.50;0.14;0.64;0.05;0.05;
El Bilal Touré;22;1.0;0;0;0;0;-0.1;0;1;1;0.00;0.00;0.00;-0.03;-0.05;
Myron Boadu;22;3.3;3;0;3;0.4;-0.3;5;3;21;0.92;0.00;0.92;0.13;-0.09;
Lucas Boyé;27;27.4;7;2;9;-1.3;-0.9;58;63;160;0.26;0.07;0.33;-0.04;-0.04;
