Country;Population
Spain;498
France;448
Italy;328
Germany;296
England;273
Brazil;107
Argentina;81
Portugal;78
Netherlands;69
Denmark;49
Belgium;48
Senegal;45
Poland;43
Croatia;43
Serbia;38
Morocco;37
Austria;33
Côte d'Ivoire;33
Switzerland;29
Scotland;29
Uruguay;28
Algeria;28
Cameroon;28
Colombia;28
Norway;27
Ghana;26
Mali;26
Nigeria;26
Sweden;26
United States;25
Republic of Ireland;25
Wales;21
Türkiye;19
Japan;18
Bosnia and Herzegovina;15
Albania;15
Czech Republic;14
Greece;14
Slovenia;12
Slovakia;12
Ukraine;11
Guinea;11
Tunisia;10
Chile;10
Finland;10
Congo DR;9
Kosovo;9
Romania;9
Australia;9
Mexico;8
Ecuador;7
Jamaica;7
Northern Ireland;7
Korea Republic;6
Burkina Faso;6
Paraguay;6
Hungary;6
Gambia;5
Montenegro;5
Togo;5
Venezuela;5
Comoros;5
Zambia;5
Congo;5
Canada;4
Egypt;4
Guinea-Bissau;4
North Macedonia;4
Gabon;4
Zimbabwe;4
Guadeloupe;4
Equatorial Guinea;4
Angola;4
Cape Verde;4
Martinique;4
Bulgaria;4
Israel;4
Georgia;3
Benin;3
Russia;3
Luxembourg;3
New Zealand;3
Costa Rica;2
French Guiana;2
Armenia;2
Madagascar;2
Honduras;2
Peru;2
Cyprus;2
IR Iran;2
Iceland;2
Lithuania;2
Mauritania;2
Suriname ;1
Mozambique ;1
Central African Republic ;1
Philippines ;1
Uzbekistan ;1
Sierra Leone ;1
Grenada ;1
Burundi ;1
South Africa ;1
Dominican Republic ;1
Latvia ;1
Haiti ;1
Andorra ;1
Cuba ;1
Estonia ;1
Iraq ;1
Liberia ;1
Montserrat;1
