Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Wesley Fofana;22;7.0;12;8;11;1;0;7;11;63.6;4;5;2;3;12;24;26;1;80.4
Matthijs de Ligt;23;29.7;34;19;21;13;0;15;18;83.3;3;31;21;10;26;60;103;0;67
Marc Cucurella;24;34.3;93;62;43;32;18;44;71;62.0;27;42;14;28;30;123;74;0;65.3
Jules Koundé;24;30.4;40;17;27;10;3;18;28;64.3;10;33;18;15;21;61;101;2;50
Cristian Romero;24;20.5;62;39;39;21;2;22;34;64.7;12;46;21;25;33;95;74;1;50
Gleison Bremer;25;32.1;49;24;27;22;0;18;28;64.3;10;54;23;31;105;154;137;0;41
Benoît Badiashile;21;20.4;36;19;21;15;0;14;23;60.9;9;18;12;6;28;64;68;1;38
Diego Carlos;29;32.9;35;24;20;13;2;16;24;66.7;8;48;33;15;24;59;120;5;31
Kalidou Koulibaly;31;26.7;39;23;31;6;2;25;38;65.8;13;41;25;16;29;68;90;1;38
Sven Botman;22;25.0;24;11;13;11;0;12;18;66.7;6;32;21;11;26;50;116;0;37
Oleksandr Zinchenko;26;11.6;20;14;7;10;3;11;20;55.0;9;11;3;8;14;34;15;1;35
Nayef Aguerd;26;30.4;27;18;16;11;0;14;24;58.3;10;24;14;10;24;51;127;1;35
Nico Schlotterbeck;23;30.9;72;43;36;34;2;33;48;68.8;15;41;32;9;56;128;154;1;20
Malo Gusto;19;20.9;55;35;29;21;5;24;40;60.0;16;21;6;15;33;88;41;1;30
Manuel Akanji;27;25.1;33;23;20;11;2;22;32;68.8;10;26;15;11;35;68;58;0;17.5
David Raum;24;30.6;52;29;30;10;12;30;64;46.9;34;38;5;33;27;79;39;1;26
Merih Demiral;24;21.3;31;17;18;12;1;15;28;53.6;13;26;14;12;58;89;68;1;21
Nathan Collins;21;18.6;37;15;27;8;2;17;27;63.0;10;38;25;13;24;61;83;2;24.3
Thilo Kehrer;26;16.8;21;14;9;11;1;9;21;42.9;12;19;11;8;24;45;29;0;12
Pervis Estupiñán;24;17.5;36;22;20;11;5;17;24;70.8;7;13;5;8;25;61;29;2;17.8
Álex Moreno;29;26.7;76;40;53;15;8;33;60;55.0;27;28;6;22;34;110;82;1;13.5
Nordi Mukiele;25;20.5;35;22;23;9;3;14;27;51.9;13;31;5;26;31;66;44;2;12
Arthur Theate;22;26.9;33;19;26;3;4;14;31;45.2;17;29;16;13;42;75;69;0;19
Hassane Kamara;28;18.0;53;34;31;16;6;27;43;62.8;16;20;4;16;69;122;67;0;19
Aaron Hickey;20;31.3;46;29;24;15;7;20;30;66.7;10;36;13;23;29;75;44;0;16.5
Moussa Niakhate;26;28.5;40;23;25;13;2;20;33;60.6;13;37;11;26;50;90;69;1;10
Issa Diop;25;10.7;10;8;5;5;0;4;11;36.4;7;14;13;1;7;17;44;0;17.8
Matt Targett;27;16.0;41;26;26;14;1;24;37;64.9;13;15;4;11;25;66;39;1;17.5
Wout Faes;24;37.0;40;24;30;9;1;25;33;75.8;8;47;37;10;53;93;169;2;17
Mathías Olivera;25;31.1;79;47;39;34;6;40;69;58.0;29;45;4;41;55;134;67;1;16.5
Tanguy Nianzou;20;6.5;11;7;7;3;1;7;11;63.6;4;7;2;5;7;18;17;0;16
Jerry St. Juste;26;6.7;13;9;7;6;0;7;8;87.5;1;7;3;4;14;27;14;0;10
Duje Ćaleta-Car;26;22.9;21;8;15;6;0;11;14;78.6;3;11;7;4;24;45;55;2;8
Jonathan Clauss;30;33.8;63;34;33;20;10;22;55;40.0;33;43;1;42;73;136;51;0;7.5
Konstantinos Mavropanos;25;30.1;57;39;35;21;1;30;51;58.8;21;46;23;23;69;126;174;2;3.2
Héctor Bellerín;27;22.0;52;32;29;20;3;31;44;70.5;13;11;2;9;23;75;57;1;1
Emerson Palmieri;28;25.2;46;25;16;22;8;22;34;64.7;12;23;8;15;27;73;66;0;15.4
Mattia Viti;20;16.6;28;16;16;9;3;15;24;62.5;9;28;25;3;29;57;69;1;13
Chris Richards;22;14.5;26;15;10;15;1;11;18;61.1;7;21;9;12;22;48;50;1;12
Armel Bella Kotchap;21;19.6;34;20;25;9;0;18;28;64.3;10;21;16;5;42;76;84;2;11
Giulian Biancone;22;25.5;70;42;44;22;4;40;69;58.0;29;23;8;15;53;123;71;1;10
Ozan Kabak;22;10.2;10;5;4;6;0;5;9;55.6;4;19;11;8;16;26;26;0;7
Leo Dubois;28;19.4;43;27;22;14;7;27;46;58.7;19;27;3;24;22;65;35;1;2.5
Christopher Wooh;21;11.7;29;11;20;8;1;11;18;61.1;7;21;14;7;21;50;40;1;9
Kevin Mbabu;27;15.5;31;20;21;5;5;12;23;52.2;11;25;8;17;35;66;35;0;5.5
Flavius Daniliuc;21;14.4;46;31;26;17;3;34;43;79.1;9;13;7;6;14;60;34;1;5
