Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Fabián Ruiz Peña;26;26.5;7;4;11;5.4;1.1;58;220;80;0.26;0.15;0.42;0.2;0.04;23
Kalvin Phillips;27;17.7;0;1;1;-0.7;0.3;6;93;14;0.00;0.06;0.06;-0.04;0.02;49
Carlos Soler;25;27.5;11;5;16;1.9;1;40;101;89;0.40;0.18;0.58;0.07;0.03;18
Lucas Paquetá;25;30.0;9;6;15;-0.8;1.5;59;168;219;0.30;0.20;0.50;-0.03;0.05;43
Yves Bissouma;26;23.5;1;2;3;0.1;1.2;40;92;16;0.04;0.09;0.13;0;0.06;29.2
Jorginho;31;25.3;6;2;8;0.2;-0.7;18;178;19;0.24;0.08;0.32;0.01;-0.03;11.3
Andre-Frank Zambo Anguissa;27;21.4;0;1;1;-1.1;-0.1;45;126;60;0.00;0.05;0.05;-0.05;0;16
Nicolò Zaniolo;23;21.9;2;1;3;-3.6;-2;87;57;205;0.09;0.05;0.14;-0.16;-0.09;15
Leander Dendoncker;27;21.7;2;2;4;-0.2;0.9;9;64;45;0.09;0.09;0.18;-0.01;0.04;15
Renato Sanches;25;18.3;2;5;7;1.1;1.7;59;171;71;0.11;0.27;0.38;0.06;0.09;15
Xaver Schlager;25;11.6;0;1;1;-0.3;0.4;21;55;29;0.00;0.09;0.09;-0.03;0.04;12
Remo Freuler;30;26.3;1;3;4;-0.4;1.6;52;208;59;0.04;0.11;0.15;-0.01;0.06;9
Samuel Chukwueze;23;14.8;3;3;6;-1.6;-1.6;89;41;164;0.20;0.20;0.41;-0.11;-0.11;18
Gerson;25;28.3;9;4;13;4.1;0.9;61;94;172;0.32;0.14;0.46;0.15;0.03;15
Brais Méndez;25;33.6;4;5;9;-0.6;1.7;57;195;161;0.12;0.15;0.27;-0.02;0.05;14
Tyler Adams;23;15.0;0;1;1;-0.2;0.1;20;96;23;0.00;0.07;0.07;-0.01;0.01;17
Jordan Veretout;29;25.8;4;8;12;-0.6;2.6;49;164;70;0.16;0.31;0.47;-0.02;0.1;11
