Player;Age;90s;GA;DxG;Cmp%;Stp%;#OPA;Save%;Price
Nick Pope;30;36.0;47;-2.7;39.5;7.6;80;74.5;11.5
Pau López;28;29.0;31;-1.1;31.9;7.0;46;68.6;12
Luís Maximiano;23;34.8;55;1;31.8;5.1;54;71.8;10.3
Guglielmo Vicario;26;38.0;70;-4.8;34.5;5.8;38;69.9;8.5
Gerónimo Rulli;30;32.0;28;0.2;39.3;4.6;52;75.0;8
Alphonse Areola;29;1.0;1;0.2;32.1;6.7;0;66.7;9.3
Jonas Omlin;28;28.7;41;3.5;40.4;7.9;27;75.9;9
Bernd Leno;30;4.0;9;0.4;32.1;8.2;1;52.6;3.6
Predrag Rajković;27;38.0;44;-1.1;31.5;5.7;53;75.8;2
Yann Sommer;34;33.0;60;-3;33.5;4.4;53;68.7;9
Lorenzo Montipò;26;34.0;50;-9.4;32.8;4.2;23;65.0;1.1
Kasper Schmeichel;36;37.0;58;-2.5;39.9;2.8;38;72.7;1
Robin Olsen;32;1.0;3;-0.8;32.0;17.9;0;40.0;3.5
Ivan Provedel;28;30.7;52;-4.4;33.4;5.9;25;73.9;2.4
Fernando Pacheco;30;33.9;60;-8.2;47.8;4.4;43;62.8;2.2
Jasper Cillessen;33;16.2;29;-0.4;43.0;3.1;14;68.8;1
